,1,2,3,4,5,6,7,8,9
111,7:30p,Charlotte Bobcats,89,Boston Celtics,83,Box Score,,"17,032",
112,9:00p,Los Angeles Lakers,99,Denver Nuggets,111,Box Score,,"17,824",
113,10:30p,Oklahoma City Thunder,103,Los Angeles Clippers,111,Box Score,,"19,273",
114,8:00p,Toronto Raptors,103,Memphis Grizzlies,87,Box Score,,"15,971",
115,8:00p,Cleveland Cavaliers,95,Minnesota Timberwolves,124,Box Score,,"14,978",
116,7:00p,Milwaukee Bucks,91,Orlando Magic,94,Box Score,,"13,588",
117,7:00p,Houston Rockets,117,Philadelphia 76ers,123,Box Score,OT,"11,671",
118,10:00p,Phoenix Suns,89,Portland Trail Blazers,90,Box Score,,"19,537",
119,10:00p,Brooklyn Nets,86,Sacramento Kings,107,Box Score,,"15,122",
120,8:30p,Washington Wizards,79,San Antonio Spurs,92,Box Score,,"18,581",
121,9:00p,New Orleans Pelicans,105,Utah Jazz,111,Box Score,,"16,717",
122,10:30p,Oklahoma City Thunder,115,Golden State Warriors,116,Box Score,,"19,596",
123,8:00p,Houston Rockets,109,New York Knicks,106,Box Score,,"19,812",
124,7:30p,Philadelphia 76ers,103,Atlanta Hawks,113,Box Score,,"12,070",
125,7:30p,Portland Trail Blazers,109,Boston Celtics,96,Box Score,,"18,624",
126,7:30p,Charlotte Bobcats,86,Cleveland Cavaliers,80,Box Score,,"18,679",
127,8:00p,Minnesota Timberwolves,113,Denver Nuggets,117,Box Score,,"17,142",
128,7:00p,Milwaukee Bucks,77,Indiana Pacers,104,Box Score,,"16,202",
129,10:30p,Memphis Grizzlies,89,Los Angeles Lakers,86,Box Score,,"18,997",
130,7:30p,Dallas Mavericks,104,Miami Heat,110,Box Score,,"19,772",
131,9:00p,Brooklyn Nets,100,Phoenix Suns,98,Box Score,OT,"15,984",
132,10:30p,Detroit Pistons,97,Sacramento Kings,90,Box Score,,"17,317",
133,7:00p,Chicago Bulls,96,Toronto Raptors,80,Box Score,,"19,800",
134,9:00p,San Antonio Spurs,91,Utah Jazz,82,Box Score,,"17,530",
135,7:00p,Miami Heat,97,Charlotte Bobcats,81,Box Score,,"19,084",
136,8:00p,Indiana Pacers,94,Chicago Bulls,110,Box Score,,"22,158",
137,10:30p,Utah Jazz,88,Golden State Warriors,102,Box Score,,"19,596",
138,8:00p,Denver Nuggets,111,Houston Rockets,122,Box Score,,"18,147",
139,10:30p,Brooklyn Nets,103,Los Angeles Clippers,110,Box Score,,"19,349",
140,8:30p,Oklahoma City Thunder,92,Milwaukee Bucks,79,Box Score,,"15,984",
141,8:00p,Boston Celtics,88,Minnesota Timberwolves,106,Box Score,,"15,111",
142,8:00p,Philadelphia 76ers,98,New Orleans Pelicans,135,Box Score,,"16,659",
143,7:30p,Atlanta Hawks,110,New York Knicks,90,Box Score,,"19,812",
144,7:00p,Dallas Mavericks,108,Orlando Magic,100,Box Score,,"15,039",
145,7:00p,Cleveland Cavaliers,103,Washington Wizards,96,Box Score,OT,"18,038",
146,9:30p,Detroit Pistons,99,Los Angeles Lakers,114,Box Score,,"18,997",
147,6:00p,Memphis Grizzlies,97,Sacramento Kings,86,Box Score,,"15,630",
148,1:00p,Portland Trail Blazers,118,Toronto Raptors,110,Box Score,OT,"17,945",
149,7:30p,Portland Trail Blazers,108,Brooklyn Nets,98,Box Score,,"17,732",
150,8:00p,Charlotte Bobcats,81,Chicago Bulls,86,Box Score,,"21,628",
151,8:30p,Philadelphia 76ers,94,Dallas Mavericks,97,Box Score,,"19,790",
152,10:30p,Memphis Grizzlies,106,Los Angeles Clippers,102,Box Score,,"19,060",
153,8:00p,Denver Nuggets,113,Oklahoma City Thunder,115,Box Score,,"18,203",
154,9:00p,Golden State Warriors,98,Utah Jazz,87,Box Score,,"16,051",
155,7:30p,New York Knicks,86,Detroit Pistons,92,Box Score,,"13,213",
156,8:00p,Boston Celtics,85,Houston Rockets,109,Box Score,,"18,232",
157,7:30p,Atlanta Hawks,88,Miami Heat,104,Box Score,,"19,600",
158,10:00p,Phoenix Suns,104,Sacramento Kings,107,Box Score,,"14,626",
159,7:00p,Minnesota Timberwolves,100,Washington Wizards,104,Box Score,,"14,804",
160,7:30p,Detroit Pistons,85,Atlanta Hawks,93,Box Score,,"13,167",
161,7:00p,Brooklyn Nets,91,Charlotte Bobcats,95,Box Score,,"13,843",
162,7:00p,Washington Wizards,98,Cleveland Cavaliers,91,Box Score,,"16,189",
163,9:30p,Houston Rockets,120,Dallas Mavericks,123,Box Score,,"20,045",
164,10:30p,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,"19,596",
165,8:00p,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,"11,789",
166,8:00p,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,"13,101",
167,8:00p,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,"13,203",
168,7:00p,Indiana Pacers,103,New York Knicks,96,Box Score,OT,"19,812",
169,7:00p,Miami Heat,120,Orlando Magic,92,Box Score,,"17,256",
170,7:00p,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,"10,787",
